agrupacion,filiacion_politica,confianza_clasificacion,nota_clasificacion
HUMANISTA,progresistas,alta,Partido Humanista
MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS,progresistas,baja,Espacio social menor
MOVIMIENTO LIBRES DEL SUR,progresistas,alta,"Libres del Sur, H. Tumini, izquierda popular"
MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,progresistas,media,Continuidad de Proyecto Sur
NUEVO ENCUENTRO,progresistas,alta,"Nuevo Encuentro, M. Sabbatella, centroizquierda"
PARTIDO HUMANISTA,progresistas,alta,"Partido Humanista, izquierda no marxista"
PARTIDO SOCIALISTA,progresistas,alta,"PS, socialdemocracia histórica"
PATRIA GRANDE,progresistas,media,"Espacio de izquierda nacional-popular (Grabois/Hagman), luego integrado a FdT"
POPULAR,progresistas,baja,Sin información suficiente
"PROYECTO JUSTO, SOCIAL Y HUMANISTA",progresistas,baja,Nombre sugiere humanismo/centroizquierda
PROYECTO SUR,peronistas,alta,Pino Solanas
UNIDAD SOCIAL,progresistas,baja,Nombre sugiere espacio socialdemócrata; codificación original inconsistente
VERDE,progresistas,media,"Partido Verde, ecologismo"
VOCACION SOCIAL,progresistas,media,Espacio socialdemócrata menor
ALIANZA NUEVOS AIRES,liberales,baja,https://www.letrap.com.ar/nuevos-aires-a1666
CONFIANZA PUBLICA,progresistas,baja,Graciela Ocaña
CORRIENTE DE PENSAMIENTO BONAERENSE,peronistas,media,https://www.electoral.gob.ar/nuevo/paginas/plataformas2021/Paso/CATAMARCA/CORRIENTE%20DE%20PENSAMIENTO%20BONAERENSE%20CO.PE.BO.pdf
CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO),peronistas,media,https://www.electoral.gob.ar/nuevo/paginas/plataformas2021/Paso/CATAMARCA/CORRIENTE%20DE%20PENSAMIENTO%20BONAERENSE%20CO.PE.BO.pdf
FRENTE H.A.C.E.R. POR PROGRESO SOCIAL,peronistas,alta,randazzo
GENTE EN ACCION,nacionalistas,alta,Biondini https://es.wikipedia.org/wiki/Frente_Patriota_Federal
MOVIMIENTO ORGANIZACION DEMOCRATICA,sin_clasificar,baja,Sin información suficiente para clasificar con certeza
PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES,peronistas,alta,Menem
PARTIDO NUEVO BUENOS AIRES,sin_clasificar,baja,Sin información suficiente
PROYECTO JOVEN,sin_clasificar,baja,Sin información suficiente
ALIANZA COMPROMISO FEDERAL,peronismo provincial,media,Idem Compromiso Federal
ALIANZA PROVINCIAS UNIDAS,peronismo provincial,media,"Alianza de gobernadores 2025, mezcla peronismo federal no kirchnerista y radicalismo (Pullaro)"
ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,otros,Centro-republicanos,ricardo alfonsin +  de narvaez
ALIANZA UNIÓN FEDERAL,peronismo provincial,baja,Sin información suficiente
ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,otros,Centro-republicanos,ricardo alfonsin +  de narvaez
COMPROMISO FEDERAL,peronismo provincial,media,Peronismo federal/disidente (espacio de A. Rodríguez Saá 2011)
CONSENSO FEDERAL,peronismo provincial,media,"Espacio de R. Lavagna, desarrollismo/peronismo federal moderado"
DEL CAMPO POPULAR,otros,otros,Sin información suficiente; nombre sugiere espacio nacional-popular
FEDERAL,peronismo provincial,baja,"Nombre genérico, sin información suficiente"
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,peronismo provincial,baja,Sin información suficiente
FRENTE UNION FEDERAL,peronismo provincial,baja,Sin información suficiente
MOVIMIENTO DE INTEGRACION FEDERAL (MIF),peronistas,alta,Randazzo
PARTIDO POPULAR,peronismo provincial,alta,"Vigo, platense"
PARTIDO RENOVADOR FEDERAL,peronistas,alta,massismo
PROPUESTA FEDERAL PARA EL CAMBIO,liberales,alta,pro
TODOS POR BUENOS AIRES,conservadores,alta,https://www.laizquierdadiario.com/Los-defensores-de-los-genocidas-tambien-tienen-su-partido-en-las-PASO
ALTERNATIVA VECINAL PLATENSE,otros,vecinalistas_locales,Frente vecinalista platense
MOVIMIENTO DE ACCION VECINAL,otros,vecinalistas_locales,Frente vecinalista
UNION DEL PUEBLO LA PLATA,marxistas,alta,Son la JG
UVEP-U. VECINALISTA PLATENSE,otros,vecinalistas_locales,Frente vecinalista platense
