anio,nivel,agrupacion_oficialismo,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo,continuidad_oficialismo,nota
2007,provincial,ALIANZA FRENTE PARA LA VICTORIA,,,,,,continua_renombrada,"Daniel Scioli (Frente Para La Victoria) sucede a Solá -- mismo espacio peronista, nueva etiqueta de frente (Scioli-Balestrini, 3.376.795 votos). Sin fila en clasificacion_ideologica_agrupaciones.csv (no cubre pre-2011) -- ideología sin determinar."
2009,provincial,ALIANZA FRENTE PARA LA VICTORIA,,,,,,continua,Sin elección ejecutiva en 2009; Scioli continúa. Sin fila en clasificacion_ideologica_agrupaciones.csv (no cubre pre-2011) -- ideología sin determinar.
2011,provincial,ALIANZA FRENTE PARA LA VICTORIA,3,peronistas,-1.686,2.097,0.871,continua,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2013,provincial,FRENTE RENOVADOR,4,peronistas,0.376,-0.0155,0.363,ruptura,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2015,provincial,CAMBIEMOS BUENOS AIRES,5,liberales,1.427,0.001,0.148,ruptura,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2017,provincial,CAMBIEMOS BUENOS AIRES,5,liberales,1.418,-0.0552,0.145,continua,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2019,provincial,JUNTOS POR EL CAMBIO,5,liberales,1.401,-0.1415,0.186,continua,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2021,provincial,JUNTOS,5,liberales,1.401,-0.1415,0.186,ruptura,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2023,provincial,UNION POR LA PATRIA,3,peronistas,-0.465,1.0688,0.642,continua,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
2025,provincial,ALIANZA FUERZA PATRIA,3,peronistas,-0.465,1.0688,0.642,continua,Fuente: data/agrupaciones/oficialismos.csv (ya curado).
